,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,30,55,29,56,30,55,30,54,29,56,30,55,30,55,30,55,31,54,30,54,30,55,30,55,29,56,30,55,30,55,31,54,31,54,30,55,30,55,29,56,29,56,29,56,30,54,30,55,30,55,30,55,31,54,30,55,30,55,30,55,30,55,30,55,30,55,31,54,30,55,30,55,28,57,32,54,30,55,28,57,30,55,29,55,30,55,30,55,29,56,31,54,30,54,29,56,30,55,30,55,30,55,30,55,30,55,30,55,30,55,29,56,30,55,31,54,30,55,30,55,30,55,27,57,30,55,30,55,29,55,30,55,29,56,30,55,30,55,30,55,31,54,30,55,30,55,30,55,29,56,30,55,29,56,27,58,29,56,30,55
2,0.013793256750958598,26,58,28,56,26,54,28,56,29,58,27,57,28,57,24,60,29,54,28,56,26,58,34,51,27,56,29,55,27,59,30,55,27,57,28,58,27,54,28,56,29,53,26,59,31,52,28,55,28,56,25,58,26,54,30,56,25,59,31,54,26,59,26,58,30,53,31,54,26,60,28,57,21,63,25,60,28,56,26,59,24,58,23,58,24,59,32,52,26,57,28,56,26,54,28,55,27,57,26,59,30,54,24,60,24,58,28,56,28,57,31,55,29,55,27,58,27,58,30,54,30,58,25,57,28,56,33,50,25,58,25,60,25,62,30,54,28,57,29,56,25,60,27,56,30,53,31,52,28,54,26,58,27,57,30,57,25,59,31,53
3,0.02731672401381633,24,59,28,55,25,54,26,57,28,56,28,57,24,61,21,63,28,54,23,62,18,64,34,50,26,57,25,59,25,59,30,55,26,58,27,60,23,57,29,54,27,56,29,56,28,53,28,54,30,58,24,60,27,53,30,57,25,59,30,54,25,61,25,58,31,52,29,55,23,63,28,58,26,55,23,62,33,51,27,58,21,59,22,59,22,59,21,63,22,60,26,59,25,56,29,55,29,55,21,65,24,58,23,59,26,55,24,59,26,59,28,55,28,58,29,57,25,58,29,56,26,62,22,61,25,58,27,53,24,57,26,59,21,65,29,55,23,61,32,54,18,67,30,53,28,56,28,53,25,54,29,56,22,62,30,57,25,58,29,55
4,0.040619295059678505,25,55,29,54,24,56,21,61,29,56,24,59,20,61,21,64,21,61,20,65,17,64,34,51,27,54,21,62,25,58,28,58,24,60,26,60,26,56,24,57,25,58,24,58,24,56,24,58,29,58,26,59,26,52,27,60,19,63,31,55,22,63,23,59,26,57,23,59,18,65,23,62,21,59,17,67,33,49,33,54,21,58,22,59,18,62,23,60,20,60,29,59,17,64,27,57,28,56,20,64,24,55,25,57,26,54,21,61,24,62,27,56,29,55,25,59,27,55,23,61,26,62,21,61,22,60,25,56,23,57,23,64,20,65,25,59,22,62,31,52,20,64,28,56,29,55,26,53,21,53,22,61,17,65,28,60,24,59,22,61
5,0.05368157337745998,22,56,31,52,23,58,21,61,29,57,25,57,19,61,23,59,19,58,17,69,18,62,33,49,24,57,20,65,21,58,25,57,19,64,26,60,24,58,23,58,21,61,24,59,24,56,17,65,27,59,20,63,29,50,25,61,21,63,26,58,20,63,20,61,24,60,21,60,17,66,20,62,18,62,18,67,29,50,29,58,20,59,23,58,14,67,22,62,18,61,27,60,17,63,23,60,25,60,18,65,23,56,21,60,23,58,22,59,21,65,20,62,25,59,27,57,24,56,19,64,22,63,22,60,22,59,24,57,21,56,17,69,20,66,21,63,21,62,26,60,19,63,26,58,26,58,24,55,20,54,22,58,12,66,26,60,20,63,22,58
6,0.06646060004095035,20,57,28,55,22,58,23,59,27,59,29,57,20,61,22,59,18,59,14,70,13,66,27,53,24,57,22,61,22,56,21,59,18,66,25,60,20,61,22,61,20,62,19,64,25,56,12,70,28,59,18,64,24,55,23,62,16,68,22,61,18,62,18,62,20,61,20,60,17,66,22,60,20,61,19,65,26,51,26,62,15,61,21,60,14,64,23,60,11,65,21,62,18,61,21,62,20,65,17,65,22,59,19,61,18,60,19,61,18,68,16,64,20,61,27,59,21,59,19,63,22,62,21,61,21,60,23,58,21,56,14,71,18,66,18,65,14,66,25,64,15,69,25,58,28,58,23,56,23,51,25,59,12,64,23,61,19,64,22,57
7,0.07902697368692312,19,58,24,56,22,57,18,62,27,59,22,61,20,60,22,59,15,60,16,68,12,67,26,52,19,61,22,61,21,57,21,59,19,63,21,65,21,61,21,62,17,64,18,64,22,55,12,69,28,57,16,66,23,56,23,61,15,69,20,61,19,64,17,60,20,61,18,61,14,66,18,63,18,61,18,67,23,52,17,68,16,61,22,60,16,61,22,61,11,65,24,57,16,63,19,63,20,63,15,68,21,59,19,60,13,62,14,64,22,64,18,62,18,64,25,60,19,59,19,63,17,65,19,61,21,61,23,57,21,55,14,71,14,68,18,64,13,67,22,65,14,69,20,62,26,59,19,62,19,55,22,62,13,63,21,62,15,63,22,56
8,0.09153506795565905,16,61,23,55,16,63,18,63,27,55,19,62,18,62,21,60,19,55,15,70,9,69,26,52,20,57,20,62,20,57,22,56,21,61,24,62,21,60,22,59,16,63,16,66,23,53,10,71,23,62,16,66,23,54,23,60,11,72,21,58,17,65,18,59,16,65,14,64,13,66,16,64,19,58,17,67,23,50,18,67,17,59,22,58,14,60,16,67,8,66,22,56,15,63,17,65,21,62,9,74,19,56,17,61,14,60,14,62,20,65,18,62,16,66,24,60,19,59,18,64,15,65,20,59,20,62,24,55,21,54,12,69,10,72,19,63,14,63,12,72,15,65,20,64,27,57,17,64,17,57,22,62,10,63,21,60,14,63,22,53
9,0.10415044522667166,13,64,20,59,17,60,13,68,25,54,15,64,20,58,19,61,19,54,17,69,10,66,26,51,16,60,21,61,22,55,21,55,24,58,20,64,19,61,23,57,14,64,14,66,20,57,11,70,19,65,16,66,22,52,23,59,12,70,20,57,18,64,18,58,17,63,14,61,13,64,15,63,17,59,19,66,20,54,17,67,14,61,23,56,15,58,19,65,10,63,21,56,13,63,20,62,19,62,9,73,20,56,18,58,12,62,12,62,19,66,16,65,17,64,28,55,13,63,16,66,14,64,20,57,22,59,22,56,21,52,12,69,10,70,20,63,12,66,15,68,15,59,15,65,24,59,16,64,16,59,17,66,11,62,19,58,14,62,19,55
