,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,28,57,29,56,30,55,29,56,30,55,30,55,31,54,31,54,30,55,28,57,30,55,30,55,30,55,30,55,30,55,29,56,30,55,30,55,30,55,29,56,30,55,30,55,30,55,30,54,30,55,30,54,30,55,30,55,30,55,28,57,31,54,30,55,30,55,29,55,30,55,30,55,30,54,30,55,30,55,30,55,29,56,29,56,30,55,29,56,29,55,29,56,30,55,30,55,30,55,30,55,30,55,30,55,29,56,31,54,30,54,30,55,29,56,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,31,54,30,55,30,55,30,55,30,55,30,55,30,55,31,54,30,55,29,56,29,56,28,57,29,56,31,54
2,0.013778442481092706,28,58,25,59,23,62,28,54,23,58,28,57,29,56,27,59,30,53,22,62,33,53,24,59,25,58,25,58,26,57,22,63,28,58,23,64,24,58,27,57,26,57,28,57,30,55,35,50,30,56,33,52,31,55,24,61,27,56,24,61,26,58,27,58,29,56,26,58,30,54,26,55,28,53,30,55,27,57,28,55,26,58,26,57,28,54,20,63,27,56,31,56,22,63,27,56,27,58,27,58,31,52,27,57,25,57,34,49,24,57,24,61,24,58,28,57,32,54,29,52,25,59,28,58,28,55,23,61,30,56,30,51,29,55,26,59,29,55,30,54,28,57,31,54,25,59,29,55,28,55,25,60,27,54,26,59,28,54,25,59
3,0.027282094734754757,26,60,25,56,24,62,26,55,21,60,26,57,29,57,23,63,27,57,20,63,34,53,21,64,23,59,25,56,20,62,21,62,33,54,17,70,20,60,24,58,25,57,26,58,27,57,33,49,28,58,31,53,29,54,21,63,27,55,19,65,23,60,27,57,26,58,23,61,28,54,26,55,30,52,22,60,26,57,22,61,26,57,24,58,29,51,17,64,25,56,27,59,23,64,26,57,26,58,24,58,28,54,28,55,19,59,28,55,25,57,27,58,23,59,24,62,28,57,30,50,23,61,27,59,25,57,23,60,24,62,26,53,25,58,26,59,30,55,23,57,28,56,29,55,23,60,29,59,27,55,25,56,27,54,25,58,26,54,29,54
4,0.04056112820618836,24,65,21,59,26,59,26,56,20,59,24,58,26,58,20,65,22,61,19,63,33,54,18,66,26,55,24,57,20,58,20,65,32,51,16,71,18,60,27,56,19,60,25,57,27,57,31,48,27,61,28,56,28,58,23,60,24,57,19,63,19,64,23,61,21,62,18,65,27,55,22,59,26,56,20,57,28,55,20,62,21,60,18,64,26,55,15,63,24,57,27,59,21,68,26,57,24,57,20,61,26,55,25,57,21,57,30,55,26,56,20,65,17,62,19,66,26,58,27,50,22,63,24,60,25,56,21,60,24,63,21,56,19,64,27,57,33,51,19,60,28,54,28,56,18,65,31,56,23,58,25,55,25,55,23,59,25,55,24,57
5,0.05361371485713956,24,65,18,62,24,61,27,54,15,61,23,59,24,58,20,66,20,63,15,65,34,52,18,66,27,55,25,58,19,61,18,66,31,51,14,73,11,67,26,59,17,61,21,59,27,58,23,55,29,60,28,57,26,56,21,62,22,59,17,60,21,61,21,63,18,64,22,62,25,57,22,60,23,56,18,58,25,58,21,61,16,65,18,64,22,59,14,63,22,59,25,61,20,67,20,64,19,59,17,64,20,60,23,56,19,58,31,55,23,59,20,65,15,61,16,66,20,63,28,48,16,68,23,60,23,55,19,61,24,63,23,53,20,61,27,58,32,47,16,62,25,52,29,53,17,66,28,59,22,57,19,59,23,58,23,56,23,58,21,58
6,0.06656624555495601,21,64,19,61,21,64,27,53,17,59,23,56,21,62,20,68,18,63,17,63,29,56,14,71,24,58,24,59,18,61,15,67,29,53,16,68,14,62,22,62,17,61,17,63,25,56,22,56,26,62,26,58,27,56,17,65,24,55,18,60,21,60,18,64,14,67,16,64,21,59,17,65,20,58,16,59,23,55,18,63,16,65,17,63,18,63,13,63,24,58,22,62,17,67,23,61,19,59,17,65,19,60,25,55,18,58,30,56,23,60,15,68,17,61,15,66,17,65,29,47,10,73,25,58,24,55,18,61,19,67,21,55,18,64,27,58,31,47,15,63,23,54,27,55,16,67,28,59,20,57,18,62,22,58,22,57,25,56,20,58
7,0.0793450873479678,22,64,16,62,17,65,25,56,15,59,21,55,15,68,21,66,13,68,13,67,31,55,16,70,22,60,24,58,17,61,12,67,28,52,16,66,10,65,20,63,16,60,17,62,25,56,18,58,24,64,21,61,24,58,15,66,24,53,17,61,22,58,18,64,13,66,15,64,19,59,15,67,23,56,17,57,23,55,14,69,17,63,18,62,16,63,15,62,29,55,23,60,19,64,26,60,18,60,19,63,20,59,22,57,17,59,26,59,22,61,12,70,17,61,15,69,15,67,27,48,14,69,18,66,26,53,17,62,18,67,19,57,16,64,26,57,29,49,17,60,22,55,25,56,15,68,27,58,20,57,18,62,19,59,22,57,21,59,19,57
8,0.09206206557099013,18,66,15,63,16,65,24,58,17,56,20,56,13,69,21,65,11,69,11,68,30,54,17,70,20,61,22,60,15,62,11,67,26,52,16,66,8,65,20,61,14,60,17,62,25,57,19,58,21,67,19,62,22,59,20,63,22,55,16,61,21,58,19,63,14,63,16,62,16,61,17,64,25,54,16,56,18,58,15,69,18,62,19,60,17,64,12,65,22,60,24,56,16,69,23,64,16,61,16,65,19,59,20,57,16,59,21,63,19,63,9,72,17,59,16,67,13,66,29,48,14,70,20,61,25,53,14,65,18,65,22,56,16,65,23,56,28,49,17,58,20,56,17,64,10,72,23,59,18,58,16,63,20,58,24,54,24,56,18,57
9,0.10473615533904994,14,70,14,61,16,65,25,56,16,55,18,57,10,71,21,62,13,65,12,67,31,53,23,64,21,60,23,60,13,64,10,67,22,55,18,62,10,60,15,65,13,61,17,63,21,58,19,56,19,68,17,63,21,59,17,61,19,58,16,60,23,55,16,65,12,63,16,62,16,60,16,65,28,51,23,50,23,54,20,64,17,61,15,60,18,63,10,67,18,64,22,57,19,66,23,62,19,60,15,65,17,60,20,56,14,58,19,64,18,64,11,70,15,61,12,70,14,63,0,0,12,72,20,63,25,52,12,66,20,61,22,55,15,63,20,60,24,52,17,61,18,56,17,65,9,71,19,61,14,62,18,61,20,58,21,56,21,57,16,59
10,0.11740164026051844,12,69,15,61,16,65,21,59,14,52,19,56,11,70,21,61,10,68,13,68,24,57,18,68,22,56,16,66,15,63,10,67,18,59,20,58,9,59,12,66,11,64,12,66,22,55,18,53,18,68,15,65,24,56,17,60,20,56,15,62,26,50,16,64,10,63,18,61,13,61,15,67,28,52,26,50,23,53,18,67,16,62,16,61,14,65,9,68,16,66,20,58,18,67,20,64,16,61,12,67,19,58,18,56,15,57,18,64,14,69,8,72,15,60,14,67,11,65,0,0,16,68,17,66,27,48,13,64,17,63,24,54,15,61,16,64,20,55,14,64,17,55,16,65,8,70,21,62,12,62,16,60,22,57,22,56,15,64,15,55
11,0.1301083668987384,16,65,12,63,17,64,26,53,19,45,16,58,13,68,19,63,11,65,11,69,23,57,12,72,20,58,13,68,14,64,12,66,19,58,14,60,10,57,10,67,11,64,10,66,21,55,16,55,16,69,12,69,23,59,19,58,19,55,12,63,24,49,17,63,9,62,18,60,10,62,16,66,29,49,23,52,20,54,13,71,18,57,16,58,11,68,9,66,17,64,20,55,20,63,17,65,16,60,11,67,13,64,20,53,12,59,15,66,13,69,9,69,16,59,15,66,14,62,0,0,18,63,13,68,25,50,14,62,18,59,25,52,15,59,12,67,23,52,14,62,17,54,13,66,8,70,16,65,11,62,14,61,21,58,20,56,13,64,15,53
12,0.14292671349652566,13,67,12,63,16,62,23,54,19,45,18,56,11,69,15,68,13,61,15,61,20,59,13,68,19,58,14,67,14,62,13,64,17,57,15,59,9,57,13,65,10,64,9,65,23,53,14,56,15,69,15,66,24,58,19,60,19,54,14,61,25,45,19,62,10,60,20,57,7,64,13,70,31,49,27,48,17,57,14,69,15,60,15,57,10,69,9,66,18,63,19,54,19,64,17,66,16,60,14,63,15,60,14,57,11,60,15,63,13,69,9,68,16,58,15,66,12,65,0,0,17,64,14,65,26,51,13,62,16,62,26,52,15,57,13,64,21,53,12,64,16,55,12,65,9,69,14,66,10,61,10,63,18,62,18,59,14,62,14,51
13,0.15580720526197428,12,69,12,63,17,63,22,53,15,48,18,57,13,67,13,66,15,60,14,61,21,59,15,65,18,57,11,68,13,61,11,66,15,60,11,63,9,57,12,63,8,65,8,66,18,58,13,56,17,66,14,66,23,57,22,55,14,58,17,59,27,43,18,61,9,58,17,59,7,64,9,70,25,55,21,50,14,59,15,67,17,58,13,58,11,67,7,67,20,60,16,58,15,67,18,65,16,60,9,65,16,58,14,56,13,54,15,63,13,67,11,66,14,60,10,67,13,64,0,0,18,62,13,63,27,48,14,60,16,61,22,55,15,58,12,66,20,53,9,67,18,56,11,64,8,69,13,67,11,59,12,58,21,59,18,59,11,65,13,53
14,0.16868095694637203,14,68,11,62,15,64,21,55,18,44,20,54,14,65,14,65,15,59,16,57,19,59,13,67,16,57,11,66,13,60,11,64,14,60,9,65,12,53,13,61,9,64,8,66,16,61,13,56,13,67,12,68,18,62,21,54,15,57,17,59,24,45,21,58,8,58,14,61,9,59,8,68,22,58,19,52,12,57,12,69,20,55,14,57,13,64,8,66,20,60,10,62,10,72,13,68,16,59,10,64,13,60,15,54,11,54,13,64,14,66,14,64,12,59,10,66,13,64,0,0,18,63,11,64,24,51,15,61,17,59,22,53,11,61,15,64,20,53,10,64,18,55,9,66,8,66,15,65,11,59,12,58,22,56,17,58,12,64,14,52
15,0.18161912145583345,16,68,12,60,12,66,22,54,17,44,18,55,13,63,15,65,14,58,17,56,20,58,16,62,16,56,10,67,15,58,13,62,15,59,7,62,8,57,15,59,11,60,11,60,18,60,12,54,12,66,17,60,16,66,17,55,18,53,10,65,23,47,21,56,6,60,16,57,8,59,12,62,17,61,19,52,15,53,9,69,17,59,13,59,11,64,9,61,20,60,12,59,11,69,15,66,17,59,11,60,15,59,15,54,9,54,13,64,12,68,14,64,11,59,12,64,14,62,0,0,16,65,10,65,25,51,18,60,17,59,18,54,12,59,13,64,17,52,13,57,16,55,11,63,9,65,13,65,10,60,13,57,18,61,16,57,13,63,9,57
16,0.19464944495953196,15,68,10,61,14,63,22,55,16,45,21,53,12,64,14,65,15,58,16,56,19,59,15,62,17,55,10,67,16,56,13,60,13,59,7,62,12,51,13,61,13,57,10,61,18,60,12,54,13,64,18,59,16,64,14,57,16,55,13,61,21,47,23,52,8,56,15,57,11,55,11,62,14,62,17,51,10,56,11,66,16,60,12,58,11,64,12,58,19,61,13,55,11,69,12,68,19,57,9,62,16,57,14,54,9,54,13,63,12,61,14,58,13,54,10,66,15,57,0,0,14,66,9,63,21,55,16,60,12,62,14,57,17,54,10,65,17,51,16,55,18,52,10,64,13,59,13,65,8,60,12,56,14,62,13,60,14,61,9,55
