,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,30,55,30,55,30,55,30,55,30,55,30,55,31,55,30,54,29,56,30,55,30,55,29,55,28,57,29,56,30,55,30,55,30,55,30,55,31,55,30,55,29,56,29,56,31,54,29,56,31,54,31,54,30,55,30,55,29,56,28,57,29,56,30,55,30,55,30,55,30,55,28,57,30,55,30,55,30,55,30,54,30,54,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,29,56,30,55,30,55,29,56,29,56,30,55,29,56,30,55,29,56,30,55,30,55,29,55,30,55,30,55,31,54,30,55,30,55,31,55,31,54,30,55,30,55,30,55,29,56,30,55,30,55,30,55,30,55,29,56,30,55,30,54,30,55
2,0.013711863459860087,25,58,29,54,28,55,27,53,27,57,27,59,32,53,30,51,23,60,26,55,23,63,25,59,27,56,25,60,25,58,30,55,28,56,24,61,30,54,26,58,26,62,30,53,28,57,26,58,32,51,30,57,22,62,32,52,28,56,28,57,28,56,27,59,29,56,32,54,25,58,26,59,29,54,28,58,30,53,28,54,26,58,23,61,30,57,28,57,29,56,24,62,26,58,28,57,26,61,27,58,20,64,26,58,24,59,27,56,28,55,25,60,27,57,25,61,28,56,28,57,26,56,24,61,27,55,26,58,26,57,26,58,29,55,31,52,27,60,26,57,27,57,29,56,27,58,23,61,26,60,33,53,32,54,26,59,27,57,26,58
3,0.02711680110376216,25,55,30,53,23,59,24,54,27,58,22,62,34,50,24,56,20,62,24,54,17,66,26,57,24,59,26,58,25,58,28,56,23,62,25,57,26,57,22,62,19,71,25,57,26,58,23,60,26,56,28,59,21,61,30,54,26,59,24,60,27,56,27,58,25,57,25,59,24,58,23,60,29,53,28,57,27,54,31,49,20,63,16,66,28,57,25,59,29,56,24,60,21,64,24,60,26,61,24,58,15,69,29,54,19,62,22,62,32,51,26,55,27,58,21,65,27,54,24,59,29,52,26,57,27,56,27,57,23,59,24,61,28,56,28,55,27,61,25,58,26,58,33,53,30,54,21,63,23,61,29,54,25,60,26,58,23,61,20,59
4,0.0402807090272868,25,56,27,55,20,59,24,54,28,59,22,61,29,57,22,57,21,63,26,54,18,66,30,54,21,62,24,58,21,60,24,58,20,64,24,58,24,60,20,64,19,69,23,57,25,59,22,60,23,60,25,62,15,66,27,56,26,60,23,60,30,53,24,60,24,60,24,61,22,61,19,64,26,56,28,57,18,62,25,54,17,63,13,69,24,60,25,59,23,59,17,66,23,61,21,63,27,58,22,60,11,72,25,58,17,64,24,59,34,46,22,59,23,63,19,67,25,56,21,62,28,55,30,52,25,57,22,61,25,58,20,64,26,55,25,59,27,61,26,56,26,56,25,61,34,48,23,63,24,57,25,58,23,62,25,57,22,62,21,54
5,0.053265462361482614,23,57,23,60,18,61,22,54,24,61,23,60,27,57,22,56,21,61,24,54,16,68,29,56,17,60,22,60,23,57,26,54,22,62,24,58,22,61,21,60,16,70,18,60,25,59,17,64,23,59,20,66,14,66,24,58,26,58,25,59,25,55,22,64,22,61,18,67,23,64,20,64,28,53,29,60,18,61,24,55,16,62,16,66,18,63,22,60,23,60,19,62,23,60,21,62,25,56,26,57,13,67,19,60,16,63,20,60,34,47,19,61,17,68,18,67,19,61,23,60,24,58,30,52,24,56,20,61,23,59,22,64,25,55,25,58,21,65,25,55,23,58,26,59,31,53,21,64,23,56,23,59,21,62,19,62,21,64,20,56
6,0.06612124550272723,24,56,26,57,19,57,21,52,23,62,22,59,27,59,15,60,20,61,22,55,17,67,27,56,15,59,20,59,23,55,23,56,18,66,24,58,20,62,21,60,20,68,19,58,27,60,19,62,22,58,20,66,7,70,25,57,26,58,23,58,24,51,21,66,23,60,17,67,19,68,18,64,29,52,26,64,14,64,28,52,10,62,14,67,17,65,21,60,21,61,15,66,17,65,20,62,20,58,28,54,9,66,20,58,16,63,18,61,32,49,17,59,15,67,19,65,20,60,24,61,20,61,31,50,22,57,21,63,24,53,19,65,27,55,24,58,19,67,22,56,24,56,28,56,26,57,16,67,23,57,21,62,22,57,13,66,19,64,15,60
7,0.07901975599440253,23,58,27,55,18,57,19,53,24,58,27,55,25,62,15,58,19,61,28,48,19,63,26,57,13,58,18,60,16,59,25,55,19,64,20,61,15,64,19,59,19,68,15,61,22,65,18,63,20,58,20,64,8,67,23,56,20,64,26,54,21,52,20,64,21,61,16,68,20,65,17,63,28,53,25,63,14,63,27,53,14,57,17,64,17,64,17,61,20,60,16,65,16,67,18,64,21,58,26,52,8,65,19,58,16,63,17,62,31,49,14,60,14,68,18,67,16,64,31,54,19,62,32,47,19,60,17,66,23,53,17,66,22,60,25,56,18,67,21,56,26,55,26,59,21,63,21,62,22,56,23,57,22,57,18,59,18,65,18,58
8,0.09194398908352874,18,62,27,56,20,50,20,53,23,56,21,58,24,63,16,56,19,60,27,51,20,61,23,60,14,55,14,63,17,56,25,56,20,62,19,64,14,65,18,55,18,70,11,65,22,66,17,64,18,58,15,66,7,68,24,55,21,64,24,54,17,55,18,65,20,60,16,67,23,65,14,65,28,54,24,63,15,63,21,57,15,54,16,64,18,64,18,60,17,62,13,67,16,66,17,64,17,62,24,52,7,63,15,60,18,62,17,60,31,50,13,62,12,70,20,67,15,63,27,55,18,64,29,49,20,58,14,67,23,50,16,67,22,58,26,54,17,68,21,54,24,55,24,61,24,59,21,61,21,57,19,62,21,59,14,63,18,61,21,56
9,0.10484026060764057,23,56,27,56,19,51,17,53,23,56,21,57,19,66,14,56,17,59,27,51,14,64,25,59,15,53,13,64,19,53,24,53,18,63,18,62,15,62,16,55,14,74,14,62,19,67,15,66,22,55,14,66,5,69,25,54,19,64,23,55,19,54,18,64,20,58,20,60,27,62,16,63,30,54,20,68,11,66,18,58,17,51,16,61,19,65,19,57,16,62,12,66,13,69,16,62,14,62,18,56,7,63,15,59,16,60,16,58,31,49,13,60,13,70,20,66,15,63,24,58,23,60,27,52,18,59,12,68,21,53,19,64,25,57,20,57,18,67,21,54,22,58,23,61,24,58,23,59,20,57,17,64,21,59,14,63,19,60,21,58
