,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,30,55,30,55,30,55,31,54,30,55,30,54,29,56,29,55,30,55,29,55,31,54,30,55,32,53,30,55,30,55,31,55,31,54,30,55,30,55,31,54,30,55,30,55,30,55,30,55,30,55,30,55,30,55,29,55,29,56,30,55,30,55,30,55,31,54,28,56,31,54,30,55,28,57,30,55,30,55,28,57,30,54,28,57,28,56,30,55,30,55,30,55,30,55,31,54,30,55,30,55,30,56,30,55,30,55,30,54,30,55,30,55,29,55,30,55,29,55,30,55,31,54,29,56,29,56,30,55,30,55,30,55,29,55,30,55,30,55,30,55,30,55,30,55,30,55,29,54,29,56,30,55,30,55,31,54,30,55,30,55
2,0.01377693155762955,29,55,28,56,20,60,30,54,21,66,27,56,21,62,24,57,30,54,29,55,29,55,25,56,28,56,22,63,23,59,21,61,29,54,29,56,29,53,27,54,28,56,33,54,27,60,28,60,26,58,27,57,29,56,27,56,22,63,24,61,28,56,26,57,32,53,21,61,28,56,26,57,23,60,28,53,27,57,23,61,32,50,21,61,21,61,28,56,26,56,29,55,27,58,31,55,32,53,26,57,25,60,29,56,33,48,25,58,25,58,31,55,29,54,28,57,30,52,26,58,32,53,24,59,27,57,28,56,26,57,28,57,28,58,27,58,24,60,31,54,25,57,26,56,29,53,26,59,29,58,28,55,30,54,27,57,29,55,30,53
3,0.027274031177021638,29,54,25,58,19,60,20,61,20,66,23,62,19,62,23,57,32,52,23,59,32,54,21,59,28,56,21,61,20,62,20,63,24,58,28,57,28,56,21,59,28,57,30,57,24,63,25,60,21,61,24,59,32,53,26,56,25,58,23,61,25,60,24,60,30,52,18,64,28,55,26,57,21,59,25,56,26,58,24,60,27,52,22,59,18,63,22,61,26,56,25,58,25,59,29,56,31,54,25,57,28,55,27,55,28,50,27,55,26,57,30,53,29,53,24,61,27,54,24,59,30,55,20,62,32,50,26,55,26,56,27,57,26,58,24,61,22,62,26,57,21,56,23,56,32,51,24,55,25,61,28,55,27,58,26,58,22,60,30,53
4,0.04062606747080246,24,58,31,55,17,62,19,62,19,66,21,65,17,61,21,58,31,53,22,58,32,52,19,61,30,54,20,63,15,65,14,70,26,53,25,58,27,56,17,63,24,61,28,58,19,68,23,58,19,63,24,61,28,56,24,58,27,55,19,63,24,61,21,60,31,51,20,61,29,56,23,58,21,58,26,54,26,59,23,61,26,51,19,61,18,59,24,57,25,57,24,60,20,62,32,53,31,55,23,57,26,54,26,53,25,50,25,57,24,57,31,51,24,57,24,60,24,57,26,58,30,56,21,62,31,53,22,57,23,59,21,63,22,62,27,58,19,65,27,56,18,60,23,55,25,58,25,53,23,62,21,63,26,59,25,57,20,61,27,50
5,0.05392577309777139,20,61,29,57,17,63,17,58,21,64,16,69,19,59,19,57,25,58,24,56,30,52,17,60,28,56,17,67,19,60,9,72,29,54,24,58,24,59,14,62,23,62,28,57,15,70,23,56,17,64,20,64,30,52,25,58,27,56,19,63,23,63,22,60,33,48,19,60,27,60,22,58,19,59,26,53,23,63,25,58,26,52,18,61,23,56,24,56,23,58,24,59,20,62,30,56,30,55,20,59,24,57,26,52,23,53,26,56,28,53,26,57,22,59,26,59,24,58,24,60,32,54,22,63,28,55,25,53,23,58,23,60,21,63,24,60,20,63,30,53,16,61,25,48,28,55,24,53,22,63,23,63,23,60,25,57,21,59,25,51
6,0.06711216505056107,20,59,28,57,14,66,19,54,18,65,16,68,13,64,21,54,25,57,24,54,30,52,16,61,25,57,14,69,24,54,7,72,23,60,17,62,18,64,12,61,23,62,27,59,14,69,19,56,15,65,16,66,30,54,24,58,28,57,18,63,25,61,17,63,32,46,16,63,25,62,20,59,21,57,21,57,20,65,24,59,25,52,20,60,21,56,21,58,22,56,23,58,19,62,25,60,24,63,20,59,23,59,22,58,23,53,26,57,25,54,25,56,19,58,25,61,23,58,20,63,28,58,19,65,21,60,25,52,16,60,22,62,19,65,23,60,18,64,26,56,17,57,26,46,23,58,24,53,21,64,23,61,21,62,26,56,21,59,26,49
7,0.08019946051483892,18,59,26,58,12,64,16,54,17,64,15,66,11,63,19,55,25,57,26,50,29,50,17,59,21,61,13,68,26,54,9,70,24,60,21,59,21,61,10,63,20,63,19,62,17,64,15,59,11,65,14,68,28,54,25,57,31,55,20,63,20,63,15,64,30,48,16,62,22,66,24,55,18,59,18,59,16,67,24,57,22,54,19,60,21,56,21,57,17,61,23,56,16,61,20,64,22,63,15,62,24,57,19,59,24,53,23,60,25,53,23,58,18,57,23,63,21,60,16,65,27,60,18,64,19,61,26,51,11,63,24,60,22,59,23,60,14,65,25,58,20,53,27,46,24,56,18,58,19,67,23,61,21,63,22,58,19,60,23,50
8,0.09326399687395612,17,61,23,61,12,65,15,53,19,61,18,63,9,63,17,55,24,56,23,49,25,55,13,62,23,57,12,68,27,54,10,71,25,59,21,59,21,59,11,61,15,67,18,61,18,62,15,58,13,64,8,73,25,56,22,58,27,54,16,67,18,63,14,63,31,48,12,63,21,66,25,53,17,58,20,57,17,66,20,58,22,51,19,58,19,58,24,54,16,59,19,58,18,61,18,65,21,62,12,63,19,62,16,60,25,51,19,64,19,58,22,58,19,55,21,65,19,60,14,64,26,59,18,65,11,68,23,52,10,64,20,63,22,57,24,57,15,63,25,57,19,54,23,48,23,56,19,56,19,67,23,61,21,63,19,60,16,61,20,53
9,0.10631988592317639,16,59,21,63,15,62,16,53,19,59,19,63,10,59,16,57,22,55,21,51,22,57,15,58,23,56,14,64,24,54,15,63,24,60,19,62,23,58,11,60,14,67,18,60,17,62,14,57,13,64,10,70,23,56,22,57,28,52,20,64,16,65,14,63,30,48,13,62,21,68,24,55,16,58,18,59,15,65,19,59,19,54,17,60,21,53,26,55,14,61,17,59,17,59,17,64,18,65,12,63,16,64,16,60,27,48,16,64,14,62,22,57,20,54,21,63,19,59,15,62,26,58,17,65,13,67,24,51,13,60,18,60,28,49,21,59,16,61,23,58,18,53,23,48,26,55,17,58,14,71,22,61,16,67,20,58,15,60,17,53
10,0.11943640323854408,15,60,19,60,19,57,15,53,19,58,20,60,7,62,15,57,19,58,15,56,21,56,17,53,22,57,9,67,21,58,13,66,27,57,16,62,25,55,10,61,11,67,16,60,15,64,11,59,12,64,10,70,23,54,21,60,27,53,19,62,14,66,15,60,31,49,15,59,21,66,21,59,16,58,19,57,17,61,18,58,17,54,19,59,18,54,26,55,16,59,18,60,19,57,17,63,20,60,14,59,18,63,14,62,24,47,14,64,14,61,20,54,14,59,20,63,17,61,13,64,24,60,19,65,12,66,19,56,11,61,18,59,26,51,16,63,15,59,20,60,17,54,23,49,29,52,16,58,13,72,25,58,16,65,17,60,17,57,16,52
11,0.1325615840937821,11,61,16,62,14,61,18,50,15,62,22,57,7,61,10,62,16,60,16,54,20,56,17,54,19,60,9,65,17,60,12,67,28,58,15,64,25,53,10,60,7,70,17,59,12,65,12,59,11,62,10,68,23,54,20,59,24,55,21,60,14,66,15,59,28,53,16,57,26,62,13,66,21,53,18,57,16,62,15,60,18,52,15,60,18,53,28,53,17,58,17,61,15,59,14,63,19,61,13,59,22,58,13,62,20,51,13,65,12,62,18,53,17,54,20,61,16,63,15,60,28,56,18,66,10,68,19,55,11,61,14,62,27,49,13,62,15,57,12,67,17,55,22,49,30,50,15,56,16,70,20,63,15,62,16,59,15,57,17,52
12,0.14578784107228462,10,61,15,62,14,61,17,45,13,63,22,56,6,61,12,60,15,59,19,49,21,55,19,50,23,55,8,66,17,58,11,66,29,55,16,63,23,56,11,58,8,68,19,56,13,64,11,59,9,65,12,65,19,57,21,57,22,56,26,55,14,63,15,59,26,56,13,61,20,66,12,66,24,49,11,62,18,59,15,58,16,52,14,60,20,50,26,55,17,58,15,59,14,58,12,64,18,61,10,60,20,58,14,61,19,50,14,65,11,63,18,52,13,56,18,62,16,61,13,59,24,60,19,66,10,66,16,57,16,58,12,64,27,49,12,62,17,54,14,64,19,53,24,48,28,50,16,55,14,71,19,65,17,59,12,61,14,56,20,50
13,0.15916538498587873,9,61,15,61,16,58,16,47,13,63,22,56,9,59,11,62,14,57,24,43,21,55,17,52,23,55,8,64,20,54,11,64,28,55,14,65,21,57,11,58,4,70,17,57,12,64,10,60,10,64,14,62,19,54,17,60,21,58,23,57,11,64,15,59,24,56,15,58,18,67,12,65,22,50,14,58,22,57,14,56,15,52,16,57,20,50,24,57,18,55,12,60,13,59,10,65,19,60,9,60,20,57,12,62,19,50,15,62,11,61,17,52,12,55,20,59,13,62,16,56,25,59,16,68,13,63,18,54,14,59,14,61,23,50,12,62,14,56,14,64,18,54,23,49,29,48,16,53,13,70,22,63,16,59,10,61,12,59,20,50
14,0.1726142354842587,12,57,15,62,17,57,16,46,16,60,24,52,8,61,13,59,18,54,24,44,20,54,18,52,20,57,12,59,18,55,10,64,29,53,12,64,18,63,11,59,5,69,16,56,15,59,10,57,10,64,11,63,13,58,17,58,21,57,23,58,10,65,14,61,21,58,15,57,14,69,11,65,21,52,15,58,16,62,12,58,14,53,16,57,20,50,25,54,16,56,12,59,14,54,12,60,17,60,11,56,16,59,11,62,16,53,15,63,10,61,18,50,13,52,19,60,10,65,16,56,23,62,16,68,14,61,18,53,12,63,11,64,23,51,4,69,16,54,14,63,19,52,24,46,29,49,17,51,16,67,19,64,17,59,8,61,13,58,18,50
15,0.18615048131192674,11,57,14,62,20,53,18,44,13,63,24,53,8,58,15,57,17,56,24,41,15,59,19,49,18,57,13,57,20,52,11,62,25,53,10,65,15,64,13,55,5,69,17,54,15,58,10,55,7,66,15,59,10,59,15,59,18,59,22,59,11,64,14,62,21,56,16,55,15,66,10,64,22,52,13,59,13,65,14,53,15,50,12,60,20,49,23,56,14,56,10,62,14,53,13,57,14,62,12,54,16,58,0,0,14,54,18,62,9,59,19,48,12,52,17,60,9,66,18,52,22,63,16,67,17,56,19,52,9,66,12,62,19,54,6,66,14,56,17,60,18,50,19,49,32,46,18,50,13,68,15,65,23,53,9,59,16,56,18,50
16,0.19985827263724484,12,55,14,62,21,52,18,44,10,66,24,51,9,56,13,59,15,57,23,44,15,59,15,51,19,54,12,55,21,51,11,62,24,54,9,65,16,65,16,51,5,68,17,53,16,55,13,52,10,61,17,57,9,60,13,62,17,59,21,59,10,64,14,61,22,55,13,58,15,66,12,62,20,55,16,54,14,64,12,50,8,56,12,60,22,47,25,55,12,58,11,61,17,51,13,58,15,61,16,50,20,55,0,0,16,53,16,63,12,54,17,48,12,52,14,59,8,67,19,50,22,62,13,69,18,52,17,55,5,70,12,63,14,58,8,64,15,54,14,61,15,52,18,49,29,46,20,49,12,66,14,66,19,56,8,59,15,56,21,48
17,0.21372692305996793,11,55,14,61,25,47,19,41,9,66,20,55,10,54,13,58,10,60,24,41,11,62,14,52,19,53,13,52,23,49,13,59,19,60,13,61,9,71,17,49,7,64,18,51,14,55,12,54,11,60,16,56,10,58,12,63,16,59,26,53,9,63,15,59,26,52,13,57,13,67,14,61,19,55,18,52,15,61,13,49,11,50,11,60,25,45,21,57,10,60,13,57,18,47,11,57,14,61,14,52,17,56,0,0,15,53,16,60,13,51,15,51,13,52,21,54,6,68,16,53,20,62,12,68,17,53,14,57,8,66,14,59,14,57,9,63,15,54,15,58,19,47,19,48,28,45,15,53,12,65,17,62,22,54,7,59,15,56,20,49
18,0.22778999962902402,12,54,14,58,27,46,19,36,12,62,19,54,9,53,12,60,13,57,21,43,12,61,12,53,19,53,14,50,19,53,9,63,21,58,13,59,9,67,13,51,11,60,20,47,13,54,12,51,10,60,15,57,9,59,13,61,20,55,20,57,9,63,13,61,27,52,14,56,14,65,11,66,19,55,17,51,18,58,13,47,10,51,10,61,24,45,21,56,7,62,11,59,15,50,13,54,13,60,11,54,16,56,0,0,16,53,17,58,15,48,18,48,14,51,18,58,9,65,19,50,11,70,10,69,17,53,11,61,11,63,13,57,10,60,8,64,15,55,17,55,21,45,23,44,25,47,17,50,12,62,18,60,22,54,6,59,12,58,14,54
