,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,29,56,29,56,30,55,30,55,30,55,30,55,30,55,30,55,29,56,29,56,29,55,30,55,30,55,30,55,30,55,30,55,30,55,29,56,30,55,30,55,30,55,29,55,28,57,30,55,30,55,29,56,29,56,30,55,31,54,30,55,29,56,30,55,31,54,29,56,30,55,30,55,30,55,30,55,29,56,30,54,31,53,30,55,30,55,30,55,30,55,30,55,30,55,30,54,30,55,30,55,30,55,29,56,28,57,30,55,30,55,30,55,29,56,30,55,30,55,29,56,31,54,29,56,30,54,30,54,29,55,31,54,29,56,29,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,29,56,31,55,30,55,29,56
2,0.013737923277263746,22,62,25,60,23,60,28,55,30,56,28,56,27,59,28,56,28,57,23,59,30,53,27,58,28,55,29,55,29,57,27,57,28,55,34,53,28,57,25,62,31,54,26,57,27,56,32,52,30,54,33,53,23,59,25,60,25,58,26,59,29,55,33,52,30,56,29,55,24,58,26,56,30,54,29,58,26,56,31,51,32,53,22,62,27,57,26,57,26,57,27,58,29,56,25,60,29,56,22,60,27,60,26,59,28,54,27,56,25,57,29,55,29,55,26,57,27,59,26,58,28,55,28,57,33,53,28,57,26,57,32,54,28,57,23,62,29,56,23,61,25,58,27,56,28,56,23,60,24,60,23,57,26,57,23,60,30,56,28,58
3,0.027162475855602827,25,58,27,55,19,62,25,56,32,54,27,57,26,59,28,56,25,56,20,63,30,52,29,58,32,52,26,58,28,58,26,58,31,52,33,53,25,59,25,63,32,53,27,56,26,57,27,57,30,53,34,51,20,60,29,58,20,63,24,61,30,52,29,57,27,57,24,61,19,63,26,56,25,60,28,56,26,55,30,50,23,61,22,63,23,62,27,56,24,59,24,59,30,55,20,65,30,52,24,61,29,57,27,58,24,58,25,57,21,58,24,60,25,57,25,55,26,60,23,61,22,60,24,59,25,61,23,61,27,52,32,54,27,58,22,62,33,56,23,60,22,58,27,56,25,56,22,59,24,58,22,58,24,57,19,64,26,59,28,58
4,0.04043680165025175,24,57,25,52,20,58,29,52,29,57,24,60,27,54,30,53,26,53,16,65,29,54,27,59,27,56,23,60,25,61,26,57,23,61,29,57,23,59,17,67,27,56,26,58,26,57,25,57,29,53,33,52,18,61,28,57,20,63,23,59,27,52,25,60,25,59,23,60,23,60,21,61,27,58,26,59,25,57,26,53,23,60,20,64,25,60,28,55,25,58,22,61,30,54,18,67,30,51,16,67,29,58,24,60,17,61,26,53,23,56,23,60,26,56,22,56,27,55,22,61,25,58,21,61,20,66,23,59,26,53,25,59,21,63,22,60,26,61,22,59,19,60,21,61,20,60,21,60,22,59,20,58,23,57,19,64,24,61,25,61
5,0.053568023627112965,21,62,24,53,19,58,29,49,27,58,21,64,25,57,28,56,26,51,14,65,27,56,26,59,26,56,22,60,21,63,19,62,23,60,30,54,21,61,14,68,26,57,24,61,25,58,22,58,23,57,32,53,17,61,29,54,18,64,21,59,25,54,21,64,22,63,18,60,22,61,18,62,21,61,26,58,24,58,24,50,21,60,18,64,20,65,27,55,23,60,21,62,27,58,18,67,29,51,15,65,27,61,25,60,14,64,24,55,21,57,21,58,30,53,23,54,26,57,23,59,18,63,18,63,20,64,23,59,24,52,28,57,19,64,21,59,24,64,23,58,22,59,16,66,17,63,22,59,21,60,18,57,21,59,18,64,22,62,25,61
6,0.06653837370053725,24,55,24,53,17,56,28,49,26,59,22,64,30,54,26,56,26,51,13,64,26,55,22,61,26,56,19,60,22,63,17,63,25,58,27,57,18,62,15,65,24,57,24,63,21,61,16,63,17,63,24,60,16,60,30,55,15,66,19,61,22,59,19,61,22,64,18,61,26,57,15,63,18,62,24,60,22,59,25,49,19,60,19,63,20,64,25,54,22,60,16,65,22,63,20,64,27,54,15,66,27,60,23,61,14,64,24,55,20,57,20,58,27,56,21,56,25,58,22,60,17,63,17,64,20,64,24,58,19,56,25,58,16,67,19,60,21,66,16,62,18,62,15,68,16,63,17,62,21,57,19,54,21,59,17,65,17,68,25,61
7,0.07936283353377771,16,63,22,56,13,61,28,49,18,64,24,61,32,50,25,56,25,52,13,63,26,55,24,59,24,56,19,61,23,63,14,67,19,63,29,59,16,63,18,62,22,58,23,65,22,58,13,62,15,63,19,61,14,62,29,56,12,69,20,60,17,63,19,64,21,63,19,57,24,58,17,60,17,61,25,59,25,57,27,46,16,62,15,65,19,64,20,57,19,62,13,66,19,65,18,67,27,54,13,67,24,59,19,66,9,69,17,58,22,53,18,60,23,60,21,54,27,57,18,63,15,65,17,65,16,68,25,57,15,60,23,61,16,68,16,60,21,66,16,64,13,65,15,67,15,64,19,59,15,59,18,54,22,57,17,65,17,67,25,63
8,0.09213764179198204,18,62,21,57,13,60,29,48,16,66,18,63,32,50,21,60,23,54,13,63,22,55,23,58,21,56,18,62,24,62,16,64,18,62,28,62,15,61,16,63,21,59,17,70,22,56,13,59,16,61,18,62,11,63,28,56,13,66,21,57,18,63,16,67,18,68,17,57,26,56,17,60,12,65,21,64,23,59,26,47,17,61,14,65,14,66,18,57,17,65,16,62,14,67,21,65,29,52,12,67,26,57,13,71,10,67,17,55,18,57,18,60,22,61,21,53,23,58,16,64,18,61,15,68,17,66,20,57,14,58,22,62,12,70,14,62,20,67,13,65,13,64,14,67,9,69,19,59,14,60,19,53,19,60,19,64,16,66,25,62
9,0.10483981553571269,17,61,20,58,12,61,27,46,21,62,21,59,33,50,15,66,25,52,14,63,22,55,22,59,18,60,15,62,23,62,15,63,15,64,24,65,15,61,12,66,17,64,18,66,24,55,15,58,18,60,14,66,12,63,29,54,12,63,20,57,18,63,15,66,19,67,17,54,27,56,16,61,11,64,21,64,22,58,26,48,15,62,17,61,13,67,18,58,14,67,19,60,13,68,19,67,25,52,9,68,23,63,17,67,9,67,18,55,20,58,18,59,21,63,19,55,25,58,14,66,18,60,15,64,11,72,22,55,16,56,20,60,12,69,11,63,19,63,14,64,13,64,12,68,7,69,18,60,16,58,24,48,15,63,22,60,15,69,17,68
