,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,28,56,30,55,29,56,30,55,30,54,30,55,28,57,30,55,30,55,30,55,30,55,30,55,28,57,29,55,31,54,29,55,30,55,30,55,30,55,30,55,30,56,30,55,30,55,30,55,31,54,30,55,31,54,29,56,30,56,30,55,29,56,30,54,31,55,30,55,30,55,30,56,30,56,30,55,30,55,30,55,29,56,29,56,30,55,30,55,29,56,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,54,30,55,29,56,29,56,30,55,30,55,30,55,30,55,30,55,31,55,30,55,30,55,30,55,30,55,31,54,28,57,30,55,30,55,32,53,30,54,29,56,29,56,31,55,29,56,30,55,30,55,30,55
2,0.013717817660548118,26,59,29,56,24,60,25,57,26,56,25,59,21,64,30,54,31,54,29,56,28,57,30,56,26,57,24,57,28,57,29,54,29,56,29,55,26,57,31,56,27,55,26,58,25,59,30,56,32,53,28,60,28,59,24,61,30,55,31,56,27,58,28,54,22,64,29,57,24,58,26,57,27,60,26,60,29,56,30,55,28,53,23,61,23,59,29,55,27,58,27,59,24,61,27,57,24,61,28,56,24,59,29,56,26,58,23,60,28,58,26,58,25,60,27,57,27,57,23,61,26,58,27,58,31,53,27,59,28,57,27,57,27,55,24,58,25,59,24,58,31,56,24,60,25,58,24,59,25,61,28,56,25,58,29,55,29,55,33,51
3,0.027033307617972464,27,59,27,56,25,58,25,58,23,57,18,65,20,64,29,55,26,56,27,57,26,58,23,61,21,62,22,57,28,56,26,53,27,60,29,56,28,54,27,58,23,58,24,59,25,58,31,56,27,56,21,65,25,62,20,64,30,53,33,56,23,62,26,56,20,66,28,57,18,63,29,54,23,61,22,63,25,61,27,58,30,51,19,62,22,58,25,60,25,59,26,59,25,59,23,60,20,65,21,62,23,59,27,57,29,55,22,60,29,54,27,60,25,60,27,56,26,59,24,60,22,62,25,59,29,56,25,60,17,67,26,57,21,61,28,53,25,59,23,57,27,57,20,64,24,58,25,58,24,60,23,59,22,61,32,54,32,52,33,50
4,0.040162658438290186,26,60,21,60,27,56,24,57,18,63,14,68,20,63,29,56,24,56,31,52,21,61,21,59,18,65,20,58,27,54,23,55,26,61,30,56,28,53,24,59,23,61,18,64,22,60,27,59,29,53,22,65,24,64,18,65,33,48,34,56,19,66,22,58,21,65,25,61,22,58,25,57,27,58,22,65,24,61,21,62,32,52,21,61,22,58,21,64,24,61,27,59,19,64,22,60,22,63,21,59,16,64,23,60,29,56,21,60,30,54,21,65,21,62,27,56,25,58,22,61,22,60,26,59,27,60,24,61,13,69,27,54,18,65,28,53,27,56,24,55,24,58,20,64,23,57,23,58,22,62,22,60,18,66,26,58,33,53,35,47
5,0.05310351511877972,25,60,17,61,26,56,19,61,18,60,11,68,23,61,24,59,23,57,31,52,18,63,24,54,14,69,20,57,25,58,21,54,22,64,30,56,28,52,19,63,21,63,18,62,23,60,23,63,24,55,22,66,24,62,15,69,30,49,29,60,15,67,23,58,19,65,20,67,24,57,24,60,23,61,0,0,25,62,19,63,26,58,22,59,22,58,20,64,27,58,24,62,19,64,19,64,20,65,17,62,15,64,23,59,24,61,18,63,31,51,27,58,20,61,26,55,21,60,22,61,20,60,20,65,23,62,23,61,12,69,25,56,17,67,27,55,21,61,20,59,24,60,18,65,21,60,22,60,16,68,22,62,15,69,24,59,30,58,35,47
6,0.06591229855367942,25,60,14,65,22,59,16,64,17,58,12,67,20,65,22,60,25,55,28,55,16,65,25,51,13,70,15,63,27,55,21,54,27,59,25,59,31,51,18,62,19,66,20,59,24,58,21,64,22,59,22,65,25,62,15,68,30,49,32,56,17,65,18,61,18,66,21,65,25,56,21,60,22,60,0,0,23,63,21,60,23,61,21,61,21,59,16,68,27,59,25,62,19,63,16,65,22,62,18,59,17,62,17,64,21,62,19,63,31,48,29,56,17,61,28,52,16,63,14,69,19,59,19,63,20,62,22,60,13,67,27,55,17,66,27,54,23,63,22,57,26,57,15,68,22,58,22,60,13,70,25,58,13,69,22,61,25,60,29,49
7,0.07874104345311224,21,65,13,65,20,57,17,62,17,57,12,65,22,63,18,63,21,53,24,59,12,66,27,49,9,73,14,64,21,62,20,56,24,61,25,60,28,54,17,61,17,70,19,59,24,58,19,64,19,60,24,62,24,63,14,68,26,50,30,57,16,67,17,60,19,64,21,65,23,57,20,58,23,60,0,0,21,63,22,59,20,63,21,61,24,57,13,69,24,61,24,62,19,64,16,66,19,66,16,58,13,65,16,65,24,59,18,61,33,44,24,59,17,59,28,50,16,61,10,72,19,59,19,60,19,63,20,62,11,69,27,55,17,64,26,54,19,64,24,56,24,62,12,69,24,56,20,64,13,68,20,62,12,67,21,62,26,58,28,47
8,0.09155856029695565,17,67,14,64,23,51,20,57,16,58,11,65,20,67,16,65,23,51,24,57,13,65,24,51,15,67,16,63,20,61,19,56,22,61,23,61,29,51,14,59,17,69,17,59,22,59,14,69,19,59,17,67,22,65,14,67,26,50,26,61,14,68,14,62,23,61,18,66,25,55,23,52,21,61,0,0,24,61,24,56,19,62,21,57,24,56,11,72,21,63,23,62,22,60,16,65,17,67,13,61,13,64,14,65,21,62,14,62,32,46,25,56,17,59,25,52,16,62,11,69,19,59,18,62,16,65,17,65,10,67,27,54,16,63,24,55,18,63,21,59,21,64,13,67,21,54,21,62,14,67,19,64,12,65,22,58,22,61,29,46
9,0.10431128793358052,15,66,16,62,19,51,20,56,13,60,11,63,14,72,19,60,25,48,24,56,12,66,16,58,17,64,14,62,19,61,18,57,18,64,24,61,28,50,14,60,13,69,15,60,16,64,10,72,20,58,19,66,21,66,11,69,24,49,24,64,12,66,12,64,24,60,15,68,22,57,20,54,18,65,0,0,20,62,22,58,16,64,22,56,22,54,13,71,21,62,22,62,19,62,15,66,18,66,11,63,11,65,13,66,20,61,15,62,28,48,22,57,16,59,23,54,16,63,15,63,18,60,18,62,14,66,16,62,10,64,0,0,16,64,18,58,20,59,20,60,20,64,13,66,17,56,17,66,23,58,20,61,10,67,21,57,15,68,24,49
