,Time,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49,S50,I50,S51,I51,S52,I52,S53,I53,S54,I54,S55,I55,S56,I56,S57,I57,S58,I58,S59,I59,S60,I60,S61,I61,S62,I62,S63,I63,S64,I64,S65,I65,S66,I66,S67,I67,S68,I68,S69,I69,S70,I70,S71,I71,S72,I72,S73,I73,S74,I74,S75,I75,S76,I76,S77,I77,S78,I78,S79,I79
0,0.0,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55,30,55
1,0.0,30,55,30,55,30,55,29,56,30,55,31,54,30,55,30,55,29,56,28,55,30,55,30,55,30,55,30,55,29,56,30,55,29,56,30,55,30,55,29,56,30,55,28,57,31,55,30,55,29,56,30,55,30,55,31,54,30,55,29,56,31,54,30,55,30,55,31,54,29,55,30,55,29,56,30,55,31,54,29,56,30,55,30,55,30,55,30,55,30,55,30,55,29,56,31,54,30,55,30,55,30,55,30,55,31,54,30,54,30,55,31,54,30,55,30,55,30,55,30,55,30,55,30,55,30,55,28,57,30,55,30,55,30,55,29,56,30,55,31,55,29,56,29,55,30,54,30,55,30,55,30,55,30,55,30,55,30,55,30,55
2,0.013798404942305584,35,50,26,60,31,56,29,54,29,56,31,54,31,57,29,53,28,56,29,54,28,56,27,57,30,56,23,60,30,56,31,55,27,57,30,55,26,59,25,59,31,51,27,58,32,53,24,58,28,54,23,60,31,53,27,59,27,58,28,56,27,58,27,58,24,61,32,54,26,56,25,58,28,55,22,59,26,58,28,56,29,56,30,55,24,60,25,60,25,60,28,58,28,56,30,56,24,56,24,61,28,55,27,58,31,53,28,55,25,59,26,58,27,54,27,56,26,60,18,66,27,59,27,57,29,54,27,56,29,54,26,56,29,56,26,61,31,54,28,56,30,56,27,55,26,57,32,52,31,55,24,59,28,57,28,55,24,59,29,57
3,0.027292489925196364,35,51,24,63,29,60,24,59,30,55,27,58,34,53,32,47,25,60,29,53,27,57,33,52,22,63,23,60,30,55,29,58,28,54,32,53,21,59,21,61,28,54,25,60,32,51,22,61,25,56,22,59,29,52,23,63,22,62,25,58,22,61,26,58,20,62,32,54,23,58,23,59,26,57,19,61,24,60,29,56,31,56,29,55,23,59,22,63,23,59,27,58,26,55,29,57,21,56,23,61,27,53,27,59,23,59,26,55,23,61,24,57,25,55,27,56,22,64,18,65,24,60,26,58,24,56,22,60,28,54,21,56,22,62,25,61,30,56,24,58,29,58,29,55,24,58,30,54,27,55,23,58,21,62,25,59,21,58,24,63
4,0.04060988124409413,32,54,21,67,30,59,19,64,30,55,25,57,37,49,32,45,25,58,25,54,27,58,27,56,24,60,22,58,26,59,28,58,24,56,28,57,19,59,20,61,25,55,24,61,34,48,22,60,21,59,22,58,22,57,23,62,16,65,21,62,18,63,28,55,20,61,31,53,19,61,22,60,28,56,22,57,23,60,33,49,31,55,25,57,19,63,19,67,22,59,23,62,27,55,23,64,16,58,19,64,25,53,25,61,23,58,22,59,21,63,24,53,23,54,21,62,26,59,17,63,25,56,26,58,22,56,26,58,25,55,15,61,20,63,26,60,29,57,22,58,28,59,25,58,19,59,32,52,25,58,20,60,20,62,22,60,21,56,28,59
5,0.05387793089376266,28,58,14,70,34,55,21,62,24,60,23,59,31,54,26,49,21,60,27,51,25,59,27,57,25,58,24,57,22,62,30,56,20,58,24,56,16,62,19,62,25,55,25,59,32,51,19,62,20,59,21,58,20,58,18,67,19,62,19,64,21,60,25,57,20,57,27,57,18,60,19,62,27,55,23,55,21,60,31,49,30,53,21,59,19,62,20,64,27,52,22,64,28,54,22,64,17,58,18,63,23,55,22,61,23,59,20,60,18,66,20,56,17,57,22,61,22,61,17,63,22,59,26,60,23,55,21,63,21,55,13,63,19,64,30,57,28,55,24,55,25,62,27,58,17,61,34,50,23,58,16,60,17,64,21,58,21,57,23,63
6,0.06704612281353206,28,57,15,68,31,57,22,60,30,55,20,62,31,51,28,47,20,62,25,52,26,60,22,58,19,63,23,58,21,62,31,55,24,54,24,54,18,60,16,64,25,54,27,54,31,52,18,63,20,58,22,57,21,57,17,68,16,62,17,65,23,57,24,57,19,57,28,54,15,60,20,59,23,59,24,53,16,60,31,48,24,56,15,63,19,60,21,62,26,54,20,66,27,57,17,68,17,57,16,63,23,55,24,61,20,62,16,64,14,68,21,54,14,57,26,59,17,66,15,66,20,61,23,60,22,57,24,61,23,52,14,62,18,65,26,57,26,57,25,53,24,61,23,62,11,66,31,54,20,59,14,62,17,63,17,61,16,59,27,60
7,0.08015703852945044,26,60,19,62,27,59,23,60,22,60,18,63,26,56,28,50,17,67,23,55,21,65,21,59,17,64,23,57,21,61,27,58,22,53,19,55,17,60,12,66,20,58,27,52,24,58,18,63,20,59,21,56,23,54,17,68,16,62,20,62,21,59,18,61,0,0,26,53,19,58,20,61,23,58,23,54,12,59,30,49,21,56,15,63,15,60,19,63,21,58,16,68,26,56,17,66,18,53,16,62,22,56,24,60,22,58,17,63,15,67,18,55,11,58,27,55,15,67,19,61,18,59,20,61,24,55,23,62,22,52,19,56,17,64,23,60,27,55,21,55,22,62,21,67,11,65,28,56,20,57,12,63,14,65,18,60,11,63,23,61
8,0.09313246692783653,28,57,19,61,24,60,20,63,21,59,13,65,25,58,24,52,18,68,18,57,19,64,21,59,17,61,19,60,19,61,24,59,20,54,18,55,18,59,12,64,19,57,23,55,25,56,18,63,20,58,22,53,22,54,16,67,11,67,21,61,20,58,16,63,0,0,26,50,18,59,18,61,19,60,19,58,11,60,29,48,19,58,13,65,16,56,21,61,18,60,17,65,23,57,14,69,19,52,12,64,18,61,20,63,20,61,17,62,15,64,19,53,14,54,24,56,13,69,23,57,18,60,20,61,22,58,23,61,20,51,19,56,15,67,25,61,28,52,20,55,20,64,22,65,13,63,24,60,20,57,9,65,14,66,17,60,12,60,20,63
9,0.10606038385187032,29,56,17,61,21,63,19,64,17,59,13,63,21,59,17,59,14,70,15,60,20,61,16,64,14,64,16,62,16,61,24,59,22,54,18,54,17,57,13,62,20,58,20,57,25,54,19,60,19,56,23,50,19,56,19,64,11,65,19,60,16,59,13,66,0,0,23,51,15,58,21,58,18,60,16,59,8,61,25,53,19,57,14,63,13,59,26,56,19,58,17,65,22,58,17,65,21,49,11,64,19,62,19,61,16,63,15,64,18,60,16,55,17,51,23,57,14,65,20,58,17,59,18,61,17,62,20,63,18,51,15,61,13,68,24,60,25,54,21,53,18,65,18,68,12,62,19,63,19,58,10,62,12,67,17,58,8,64,17,63
10,0.1190453764890081,25,58,18,59,18,66,19,64,19,56,11,63,20,60,17,57,12,69,14,60,20,60,14,64,13,63,0,0,19,58,22,59,22,53,16,56,17,53,14,61,21,56,20,54,22,56,20,57,14,61,22,50,16,58,18,64,9,66,14,64,16,60,15,63,0,0,23,48,18,55,17,62,22,57,16,58,6,60,23,54,19,57,14,63,10,62,27,53,18,59,16,63,25,55,15,68,23,45,12,65,16,63,17,59,11,64,12,65,21,58,12,58,17,49,22,58,12,67,17,57,18,57,19,59,15,65,17,66,18,52,16,60,12,70,27,58,21,59,19,54,20,63,15,71,14,60,19,61,20,57,12,57,14,65,17,57,6,66,16,63
11,0.13203642693429907,24,60,15,62,18,65,18,64,20,57,10,61,17,62,16,60,10,69,13,60,20,58,17,59,13,63,0,0,18,57,23,56,20,55,17,54,15,53,15,61,19,58,20,53,20,56,21,56,15,61,22,49,16,58,17,65,7,69,9,68,13,63,15,62,1,0,21,50,15,56,17,62,20,59,17,57,6,57,20,56,16,60,13,63,11,61,25,54,17,58,12,67,21,57,12,70,24,42,13,64,16,63,10,63,12,61,10,65,19,58,14,55,16,51,20,58,12,64,16,58,16,60,18,59,14,65,14,69,20,51,15,60,13,67,28,57,18,62,18,55,20,64,15,71,14,60,14,65,18,59,9,59,14,63,20,55,10,60,16,63
12,0.14508930812319015,21,61,15,62,14,67,17,65,19,57,10,61,18,58,21,57,10,69,12,60,18,60,15,62,15,61,0,1,15,57,21,56,21,54,12,57,15,51,15,61,19,58,19,54,19,57,18,57,12,64,17,53,16,58,13,68,8,67,7,70,10,63,15,61,1,0,19,52,12,58,16,62,22,56,19,52,6,55,18,57,20,59,13,61,10,61,23,55,17,59,14,64,19,57,10,70,24,41,13,63,14,60,11,62,9,63,12,58,18,55,14,55,17,48,19,59,11,64,14,59,15,61,15,61,15,64,15,68,22,47,17,56,14,64,25,57,18,61,19,54,19,65,18,67,15,58,13,64,16,57,13,56,17,60,17,57,9,62,17,62
13,0.15831766340387543,19,61,16,61,12,68,15,66,14,62,11,58,18,58,21,57,8,70,11,60,17,59,17,58,14,61,0,1,15,58,20,57,22,52,13,54,16,51,15,59,18,58,16,53,21,55,20,55,11,62,15,55,17,57,11,68,9,65,4,72,14,55,15,59,1,0,18,53,11,58,10,66,23,54,21,49,8,52,18,56,20,58,14,60,13,57,24,52,16,60,16,60,13,58,11,68,22,43,11,63,13,61,12,62,10,61,10,60,17,55,16,54,18,46,17,61,16,59,12,59,15,62,15,57,15,62,12,71,20,47,19,53,13,63,23,59,16,60,20,53,20,63,15,67,16,57,12,63,16,55,14,56,13,63,16,58,7,63,19,62
